Time,Open,High,Low,Latest,Change,%Change,Volume
2026-03-09,16.28,16.35,14.9,14.94,-0.89,-5.62%,2148900
2026-03-06,15.28,16.19,14.84,15.83,0.32,+2.06%,1924580
2026-03-05,14.82,15.525,14.63,15.51,0.33,+2.17%,1782200
2026-03-04,14.73,15.38,14.54,15.18,0.51,+3.48%,1836800
2026-03-03,13.54,14.84,13.42,14.67,0.73,+5.24%,1847500
2026-03-02,13.85,14.44,13.57,13.94,0.21,+1.53%,1638100
2026-02-27,14.07,14.145,13.47,13.73,-0.47,-3.31%,1513600
2026-02-26,13.86,14.34,13.7575,14.2,0.25,+1.79%,901800
2026-02-25,14.04,14.19,13.78,13.95,0.05,+0.36%,728200
2026-02-24,13.91,14.24,13.75,13.9,0.06,+0.43%,1555800
2026-02-23,14.02,14.425,13.54,13.84,-0.18,-1.28%,1226200
2026-02-20,13.68,14.145,13.5,14.02,0.45,+3.32%,2063200
2026-02-19,13.42,13.7,13.21,13.57,0.2,+1.50%,1469500
2026-02-18,13.44,13.6,13.21,13.37,0.19,+1.44%,1062700
2026-02-17,13.47,13.55,13.12,13.18,-0.52,-3.80%,1909900
2026-02-13,13.94,14.28,13.37,13.7,-0.22,-1.58%,1741600
2026-02-12,15.47,15.64,13.765,13.92,-1.58,-10.19%,3200200
2026-02-11,15.06,15.61,14.78,15.5,0.77,+5.23%,2598400
2026-02-10,14.27,15.07,14.2,14.73,0.46,+3.22%,2526600
2026-02-09,14.75,14.89,14.07,14.27,0.42,+3.03%,2168300
2026-02-06,13.01,14.26,12.86,13.85,1.19,+9.40%,2518800
2026-02-05,12.8,14.2299,12.37,12.66,0.06,+0.48%,4216000
2026-02-04,12.42,13.33,12.12,12.6,0.28,+2.27%,2748000
2026-02-03,11.76,12.49,11.71,12.32,0.68,+5.84%,1164000
2026-02-02,11.19,11.935,11.1561,11.64,0.18,+1.57%,1069700
2026-01-30,11.86,11.98,11.02,11.46,-0.63,-5.21%,791300
2026-01-29,12.06,12.11,11.4,12.09,0.16,+1.34%,784300
2026-01-28,12.13,12.27,11.68,11.93,0.16,+1.36%,881500
2026-01-27,11.5,11.98,11.42,11.77,0.25,+2.17%,524000
2026-01-26,11.64,11.865,11.399,11.52,-0.17,-1.45%,600900
2026-01-23,12,12.22,11.67,11.69,-0.18,-1.52%,988500
2026-01-22,12.05,12.2799,11.79,11.87,-0.15,-1.25%,1634900
2026-01-21,11.24,12.225,11.17,12.02,0.88,+7.90%,1887300
2026-01-20,11.33,11.46,10.7,11.14,-0.49,-4.21%,1700700
2026-01-16,11.62,11.765,11.4603,11.63,0.02,+0.17%,2883600
2026-01-15,11.15,11.7,11.11,11.61,0.43,+3.85%,1387100
2026-01-14,11.28,11.57,11.06,11.18,-0.03,-0.27%,1393200
2026-01-13,10.68,11.4399,10.68,11.21,0.58,+5.46%,1365600
2026-01-12,10.57,10.9,10.4,10.63,0.06,+0.57%,1064900
2026-01-09,10.3,10.62,9.951,10.57,0.27,+2.62%,856600
2026-01-08,9.59,10.37,9.49,10.3,0.73,+7.63%,1270700
2026-01-07,9.72,9.76,9.44,9.57,-0.17,-1.75%,649100
2026-01-06,9.91,10.035,9.52,9.74,-0.15,-1.52%,823400
2026-01-05,10.46,10.7799,9.5001,9.89,-0.39,-3.79%,1223000
2026-01-02,9.83,10.29,9.78,10.28,0.48,+4.90%,1084200
2025-12-31,9.71,9.83,9.49,9.8,0.07,+0.72%,931600
2025-12-30,9.92,10,9.695,9.73,-0.12,-1.22%,577600
2025-12-29,9.88,10.13,9.66,9.85,-0.03,-0.30%,748500
2025-12-26,9.89,10.07,9.75,9.88,-0.15,-1.50%,581100
2025-12-24,9.86,10.17,9.81,10.03,0.13,+1.31%,472100
2025-12-23,9.55,9.985,9.4735,9.9,0.31,+3.23%,789400
2025-12-22,9.43,9.77,9.4,9.59,0.19,+2.02%,901200
2025-12-19,9.7,9.84,9.38,9.4,-0.36,-3.69%,1911600
2025-12-18,9.79,10.02,9.71,9.76,0.13,+1.35%,721600
2025-12-17,9.5,9.795,9.49,9.63,0.12,+1.26%,929500
2025-12-16,9.63,9.69,9.395,9.51,-0.29,-2.96%,992700
2025-12-15,9.74,9.8,9.47,9.8,0.13,+1.34%,894600
2025-12-12,9.8,9.87,9.535,9.67,-0.09,-0.92%,1409100
2025-12-11,9.54,9.78,9.45,9.76,0.05,+0.51%,857800
2025-12-10,9.9,9.92,9.525,9.71,-0.23,-2.31%,954900
2025-12-09,9.59,9.97,9.435,9.94,0.43,+4.52%,1498600
2025-12-08,9.81,9.97,9.3101,9.51,-0.23,-2.36%,1281700
2025-12-05,10.32,10.39,9.72,9.74,-0.58,-5.62%,1176900
2025-12-04,10.22,10.41,10.01,10.32,0.18,+1.78%,787400
2025-12-03,10.28,10.425,10.07,10.14,-0.11,-1.07%,961800
2025-12-02,10.24,10.325,10.04,10.25,0.02,+0.20%,636500
2025-12-01,10.08,10.5,10.0049,10.23,-0.1,-0.97%,2055300
2025-11-28,9.93,10.445,9.81,10.33,0.34,+3.40%,1001800
2025-11-26,10.09,10.21,9.81,9.99,-0.16,-1.58%,1024800
2025-11-25,9.66,10.165,9.53,10.15,0.44,+4.53%,1101700
2025-11-24,9.94,9.94,9.6,9.71,-0.1,-1.02%,1344300
2025-11-21,9.89,10.125,9.67,9.81,-0.1,-1.01%,1431100
2025-11-20,10.17,10.325,9.75,9.91,-0.13,-1.29%,1766800
2025-11-19,10.3,10.3399,9.61,10.04,-0.39,-3.74%,1780700
2025-11-18,9.95,10.505,9.75,10.43,0.34,+3.37%,1678900
2025-11-17,9.63,10.62,9.5938,10.09,0.4,+4.13%,2821600
2025-11-14,9.43,9.885,9.29,9.69,0.19,+2.00%,1756500
2025-11-13,9.67,9.8,9.31,9.5,-0.27,-2.76%,1447600
2025-11-12,10.33,10.48,9.661,9.77,-0.52,-5.05%,1287200
2025-11-11,9.83,10.3,9.7,10.29,0.52,+5.32%,2091900
2025-11-10,10.44,10.44,9.73,9.77,-0.34,-3.36%,2591500
2025-11-07,9.51,10.15,9.42,10.11,0.49,+5.09%,2489800
2025-11-06,11.17,11.24,9.575,9.62,-1.66,-14.72%,3306500
2025-11-05,11.4,11.86,10.76,11.28,1.26,+12.57%,4523500
2025-11-04,10.2,10.38,9.975,10.02,-0.43,-4.11%,2598700
2025-11-03,10.26,10.48,10.02,10.45,0.17,+1.65%,2166900
2025-10-31,9.94,10.285,9.84,10.28,0.39,+3.94%,1327900
2025-10-30,10.25,10.38,9.88,9.89,-0.42,-4.07%,1186400
2025-10-29,10.34,10.59,10.205,10.31,-0.03,-0.29%,1623400
2025-10-28,10.59,10.745,10.32,10.34,-0.29,-2.73%,1747900
2025-10-27,11.33,11.37,10.5977,10.63,-0.52,-4.66%,2995100
2025-10-24,10.78,11.35,10.74,11.15,0.595,+5.64%,3006600
2025-10-23,9.86,10.58,9.86,10.555,0.865,+8.93%,3917300
2025-10-22,9.88,9.88,9.18,9.69,-0.79,-7.54%,12059300
2025-10-21,11.54,11.54,10.33,10.48,-1.11,-9.58%,1666700
2025-10-20,11.17,11.615,11.1,11.59,0.42,+3.76%,1308000
2025-10-17,11.13,11.37,10.895,11.17,-0.15,-1.33%,1619200
2025-10-16,12,12.1499,11.215,11.32,-0.5,-4.23%,1981600
2025-10-15,11.67,12.31,11.5001,11.82,0.66,+5.91%,3562500
2025-10-14,9.81,11.18,9.81,11.16,1.2,+12.05%,2993100
2025-10-13,9.34,9.97,9.3007,9.96,0.88,+9.69%,1330300
2025-10-10,9.37,9.73,8.925,9.08,-0.41,-4.32%,2289500
2025-10-09,10.23,10.31,9.45,9.49,-0.79,-7.68%,1553500
2025-10-08,10.03,10.58,10.02,10.28,0.28,+2.80%,2307300
2025-10-07,10.26,10.295,9.67,10,-0.03,-0.30%,1815400
2025-10-06,10.14,10.4694,9.98,10.03,0.38,+3.94%,1838100
2025-10-03,9.37,9.87,9.2644,9.65,0.46,+5.01%,1584000
2025-10-02,9.12,9.2,8.99,9.19,0.17,+1.88%,943400
2025-10-01,8.79,9.145,8.68,9.02,0.23,+2.62%,2463200
2025-09-30,9.08,9.235,8.65,8.79,-0.36,-3.93%,1884300
2025-09-29,9.3,9.3799,8.98,9.15,-0.06,-0.65%,952200
2025-09-26,9.07,9.46,9.07,9.21,0.02,+0.22%,3440900
2025-09-25,9.42,9.58,9.11,9.19,-0.45,-4.67%,1297400
2025-09-24,9.4,9.925,9.34,9.64,0.38,+4.10%,1692900
2025-09-23,9.33,9.555,9.25,9.26,-0.11,-1.17%,2110100
2025-09-22,9.54,9.655,9.3,9.37,-0.28,-2.90%,2591600
2025-09-19,10.21,10.27,9.5711,9.65,-0.63,-6.13%,5857800
2025-09-18,10.03,11.13,9.98,10.28,0.67,+6.97%,3864200
2025-09-17,10.44,10.625,9.59,9.61,-0.71,-6.88%,2248600
2025-09-16,9.99,10.44,9.92,10.32,0.44,+4.45%,2895100
